Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Is_Relevant,Relevance_Explanation,Key_Topics,Confidence,Analysis_Status,Search_Keyword,Scraped_At
Research on the Current Situation and Implementation Strategies of Artificial Intelligence (AI) Education in K-12 Schools,,2022.0,0,"J Pan, X Lan",https://link.springer.com/chapter/10.1007/978-3-031-29016-9_44,"… AI technology, AI education in K-12 schools has shown new changes. Therefore, based on analyzing and summarizing the existing problems of AI education in K-12 … development of AI. …",0.95,True,"The paper directly addresses AI education in K-12 schools, aligning perfectly with all three keyword components through its focus on current implementation strategies and challenges.",K-12 AI education implementation; AI technology in schools; curriculum development for AI; pedagogical strategies for AI; barriers to AI education adoption,0.98,success,"K12 education, AI, education",2025-08-31T00:42:00.338372
Long-term Impacts of K-12 AI Education Interventions on Social Media Mechanisms,H Vartiainen; J Kahila,2025.0,0,"H Vartiainen, J Kahila, N Pope…",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5230272,… This paper presents delayed posttest findings from AI education / engineering education school intervention in which students from 12 classrooms in Finnish elementary and secondary …,0.9,True,"The paper directly addresses K12 AI education through an intervention study in Finnish elementary and secondary schools, with explicit focus on AI education outcomes.",K12 AI education; school intervention; delayed posttest analysis; engineering education integration; social media mechanisms,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900796
Artificial intelligence in education: Challenges and opportunities for sustainable development,F Pedro; A Rivas,2019.0,1547,"F Pedro, M Subosa, A Rivas, P Valverde",https://repositorio.minedu.gob.pe/handle/20.500.12799/6533,"… AI in education and preparing students for an AI-powered context. Finally, this paper reflects on future directions for AI in education, … risks of AI in education for sustainable development. …",0.7,True,"The paper directly addresses AI in education and preparing students for AI contexts, which includes K12 education as a core subset, though it does not explicitly focus solely on K12.",AI in education; student preparation for AI; sustainable development in education; future directions of AI in education; risks of AI in education,0.8,success,"K12 education, AI, education",2025-08-31T00:42:02.900815
Research on the Current Situation and Implementation Strategies of Artificial Intelligence (AI) Education in K-12 Schools,,2022.0,0,"J Pan, X Lan",https://link.springer.com/chapter/10.1007/978-3-031-29016-9_44,"… AI technology, AI education in K-12 schools has shown new changes. Therefore, based on analyzing and summarizing the existing problems of AI education in K-12 … development of AI. …",0.95,True,"The paper directly addresses the intersection of AI and K-12 education, focusing on implementation strategies and current challenges, making it highly relevant to the specified keywords.",AI education implementation; K-12 curriculum integration; current challenges in AI education; strategies for AI adoption; educational technology development,0.98,success,"K12 education, AI, education",2025-08-31T00:42:02.900823
Discovering the Role of Artificial Intelligence in K12,SFA Hossain,2021.0,0,SFA Hossain,"https://books.google.com/books?hl=en&lr=&id=FKlQEAAAQBAJ&oi=fnd&pg=PA314&dq=K12+education,+AI,+education&ots=Tr5zxqkkQW&sig=IIlU-xXRdVl50hOc94CXJG-mUYY","… Artificial Intelligence, also known as AI, is a remarkable … for the education field, artificial intelligence has flourishingly … the implementation of AI would have an impact on education, …",0.9,True,"The paper directly focuses on the implementation and impact of artificial intelligence in K12 education, with explicit thematic alignment to all three keywords.",AI in education; K12 educational technology; AI implementation impact; Educational AI applications; Future of AI in schooling,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900830
“AlphAI”: Teaching AI Algorithms to K12 by Training Learning Robots and Visualizing How It Works,T Deneux,2025.0,1,"M Absalon, T Deneux",https://ojs.aaai.org/index.php/AAAI/article/view/35181,"… is an increasing demand for AI education. However, this … AI tools and harboring concerns about the future of an AI-driven world, rather than gaining a deep understanding of ”how AI …",0.9,True,"The paper directly addresses AI education for K12 students through hands-on learning with robots and visualization tools, aligning perfectly with the keyword's focus on K12 education and AI integration.",AI education; K12 learning; robotics in education; algorithm visualization; AI literacy,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900840
Research on Adaptive Learning in K-12 Education in the Perspective of Teachers' Artificial Intelligence Literacy: Development; Technology; Improvement Strategies,,2023.0,4,"L Wang, Z Nie",https://ieeexplore.ieee.org/abstract/document/10261639/,"… As countries worldwide gradually enter the era of intelligent education, they have … ' artificial intelligence literacy (AI literacy). K12 education, as the most important part of the education …",0.95,True,"The paper directly addresses K-12 education and AI through its focus on adaptive learning and teachers' AI literacy, with explicit thematic and conceptual alignment to the keywords.",K-12 education; artificial intelligence literacy; adaptive learning; intelligent education; teacher professional development,0.98,success,"K12 education, AI, education",2025-08-31T00:42:02.900846
What are artificial intelligence literacy and competency? A comprehensive framework to support them,TKF Chiu; Z Ahmad; M Ismailov; IT Sanusi,2024.0,210,"TKF Chiu, Z Ahmad, M Ismailov, IT Sanusi",https://www.sciencedirect.com/science/article/pii/S2666557324000120,"… (AI literacy), and its two main goals are to (i) define AI … K–12 AI education. These definitions are needed for this emerging and disruptive technology (eg, ChatGPT and Sora, generative AI…",0.9,True,"The paper directly addresses K-12 AI education by defining AI literacy and competency frameworks specifically for this educational level, with explicit mentions of K-12 contexts and generative AI tools like ChatGPT.",AI literacy; K-12 education; competency framework; generative AI; educational technology,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900853
Education in the AI era: a long-term classroom technology based on intelligent robotics,F Bellas; M Naya-Varela; A Mallo,2024.0,19,"F Bellas, M Naya-Varela, A Mallo…",https://www.nature.com/articles/s41599-024-03953-y,"… AI technologies arise. Although generated in the frame of K12 education, this is the perspective towards AI … The goal now is how to transfer the AI literacies to the real educational centres…",0.9,True,"The paper directly addresses K12 education and AI technologies, focusing on AI literacies and their application in educational centers, aligning strongly with the keyword themes.",K12 education; AI technologies; AI literacies; educational centers; intelligent robotics,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900860
Avoiding 'Sinking the Boat'While not 'Missing the Boat': K-12 Leaders' Early-on Perspectives of AI Risks and Benefits and Their Implications for Developers,,2024.0,0,"S Mason, R Borasi, D Miller…",https://ieeexplore.ieee.org/abstract/document/10892969/,"… the use of AI in K-12 education has to date … AI [8], and perceptions regarding AI in K-12 education have been considered with a focus on classroom activities [2], [9], [10], [11], [12]. K-12 …",0.9,True,"The paper directly addresses K-12 education and AI through its focus on leaders' perspectives of AI risks and benefits in this specific educational context, with explicit references to both domains.",K-12 education; AI risks and benefits; educational leadership perspectives; AI implementation in schools; developer implications,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900866
Role of AI in education.,,2023.0,384,A Harry,https://radensa.ru/wp-content/uploads/2024/05/Role_of_AI_in_Education.pdf,"… , and fairness in AI-based education systems also need to be taken into account. Despite these challenges, the potential of AI in education is immense. AI can provide better data …",0.6,True,"The paper focuses on AI in education broadly, which includes potential relevance to K12 education, though it is not explicitly mentioned in the provided abstract.",AI in education; fairness in AI systems; data-driven education; challenges of AI adoption; potential benefits of AI,0.7,success,"K12 education, AI, education",2025-08-31T00:42:02.900873
Creation and evaluation of a pretertiary artificial intelligence (AI) curriculum,TKF Chiu; CS Chai; I King,2021.0,410,"TKF Chiu, H Meng, CS Chai, I King…",https://ieeexplore.ieee.org/abstract/document/9455898/,"… This curriculum is supported by the Microsoft K12 education transformation framework. In Australia, courses with teaching and learning resources include foundation knowledge that …",0.9,True,"The paper directly addresses K12 education through its curriculum design, focuses on artificial intelligence as the core subject matter, and contributes to the broader education field with practical teaching resources and framework integration.",K12 AI curriculum; Microsoft education framework; pretertiary education resources; AI foundation knowledge; teaching and learning materials,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900879
"Unpacking approaches to learning and teaching machine learning in K-12 Education: Transparency, ethics, and design activities",L Morales-Navarro; YB Kafai,2024.0,12,"L Morales-Navarro, YB Kafai",https://dl.acm.org/doi/abs/10.1145/3677619.3678117,"… In this conceptual paper, we review existing literature on artificial intelligence/machine learning (AI/ML) education to identify three approaches to how learning and teaching ML could be …",0.9,True,"The paper directly addresses AI/ML education within K-12 settings, focusing on pedagogical approaches and ethical considerations, which aligns perfectly with the keyword's scope.",K-12 machine learning education; AI ethics in education; teaching methodologies for AI; transparency in AI education; design activities for ML learning,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900886
"Empowering K-12 education with AI: By Thomas KF Chiu, London, Routledge, 2024, 230 pp.,£ 28, 79, ISBN: 978-1-003-49837-7",,2025.0,0,"Y Nufninu, MG Halim, MS Fobia",https://www.tandfonline.com/doi/full/10.1080/00220671.2025.2510385,"… AI’s application in primary and secondary education curricula. Hence, this book, Empowering K-12 Education with AI, is organized to explore the transformation of education through AI. …",0.95,True,"The paper directly focuses on AI's application in K-12 education, with explicit alignment to the keyword topics through its title, abstract, and stated exploration of educational transformation via AI.",AI in K-12 curricula; educational transformation through AI; primary and secondary education technology integration,0.98,success,"K12 education, AI, education",2025-08-31T00:42:02.900891
A framework for inclusive AI learning design for diverse learners,Y Song; LR Weisberg; S Zhang; X Tian,2024.0,88,"Y Song, LR Weisberg, S Zhang, X Tian…",https://www.sciencedirect.com/science/article/pii/S2666920X24000134,"… importance of integrating AI as learning content in K-12. Despite the recent efforts in developing AI curricula and guiding frameworks in AI education, the educational opportunities often …",0.9,True,"The paper directly addresses AI integration as learning content in K-12 education, aligning perfectly with all three keywords through its focus on curriculum design and inclusive pedagogical frameworks.",AI curriculum development; K-12 AI education frameworks; inclusive learning design; educational equity in AI; pedagogical integration of AI,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900898
Artificial intelligence in compulsory K-12 computer science classrooms: A scalable professional development offer for computer science teachers,F Jetzinger; T Michaeli,2024.0,21,"F Jetzinger, S Baumer, T Michaeli",https://dl.acm.org/doi/abs/10.1145/3626252.3630782,"… AI in K-12 education, various teaching approaches and materials have been developed in recent years, and the topic is being introduced into K-12 … AI into mandatory K-12 CS education …",0.9,True,"The paper directly addresses the integration of artificial intelligence into K-12 education, focusing on professional development for computer science teachers, which aligns perfectly with the keyword topics.",K-12 education; artificial intelligence; computer science education; teacher professional development; curriculum integration,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900906
"Artificial Intelligence Applications in K-12: Theories, Ethics, and Case Studies for Schools",H Crompton,2024.0,1,"H Crompton, D Burke","https://books.google.com/books?hl=en&lr=&id=eKokEQAAQBAJ&oi=fnd&pg=PT6&dq=K12+education,+AI,+education&ots=BTugSAfwP8&sig=1eBYIU8px9L7UEKjTUb1nk72Y-8",… Artificial Intelligence Applications in K-12 offers authentic instances of how AI systems can be integrated into K-12 education today. As AI technologies rapidly evolve and become more …,0.95,True,"The paper directly focuses on AI applications in K-12 education, with explicit alignment to all three keywords through theoretical frameworks, ethical considerations, and practical case studies.",AI integration in classrooms; K-12 educational technology; Ethical AI use in schools; Case studies of AI applications; Curriculum adaptation for AI,0.98,success,"K12 education, AI, education",2025-08-31T00:42:02.900912
"AI as a Supplement, not a Replacement: Benefits and Boundaries in K-12 Education",R Khazanchi; P Khazanchi,2025.0,0,"R Khazanchi, P Khazanchi",https://www.learntechlib.org/p/225590/,"… Implementation of AI-based systems in K-12 education presents several challenges and limitations. Economically disadvantaged students, particularly those in rural or suburban areas, …",0.9,True,"The paper directly addresses AI implementation in K-12 education, focusing on benefits, boundaries, and equity considerations, which aligns perfectly with all three keyword components.",AI in K-12 classrooms; Educational technology implementation; Equity in AI education access; AI as teaching supplement; Socioeconomic barriers,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900918
Learning with technology during emergencies: A systematic review of K‐12 education,H Crompton; K Jordan,2021.0,234,"H Crompton, D Burke, K Jordan…",https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13114,"… largest disruption of education in history, … education using emergency remote education (ERE). The purpose of this study is to determine how technology has been used to continue K-12 …",0.6,True,"The paper directly addresses K-12 education and technology use, but AI is not explicitly mentioned in the provided abstract, making the connection indirect rather than central.",K-12 education; emergency remote education; technology integration; educational continuity; systematic review,0.8,success,"K12 education, AI, education",2025-08-31T00:42:02.900924
Teachers' trust in AI‐powered educational technology and a professional development program to improve it,T Nazaretsky; M Ariely; M Cukurova,2022.0,503,"T Nazaretsky, M Ariely, M Cukurova…",https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13232,"… In recent years, AI has been incorporated increasingly into K-12 education. However, little … of K-12 teachers towards the use and adoption of AI-powered Educational Technology (AI-…",0.9,True,"The paper directly addresses AI integration in K-12 education through the lens of teacher trust and professional development, aligning perfectly with all three keyword components.",AI-powered educational technology; K-12 teacher adoption; professional development programs; trust in AI systems; educational technology implementation,0.95,success,"K12 education, AI, education",2025-08-31T00:42:02.900930
The Pros and Cons of AI in K-12 Education,B Patton,,0,"N Jana Ziegler, B Patton",https://nssascholars.org/wp-content/uploads/2024/11/NSSA.TechJouranl.Volume12.1.11.20.24.pdf#page=38,… K-12 education to see how different types of AI can be implemented in these classrooms daily. This paper focuses on the research studies in K-12 classrooms and whether AI … AI in K-12 …,0.95,True,"The paper directly addresses the implementation and impact of AI in K-12 education, with explicit focus on research studies in classrooms, aligning perfectly with all three keywords.",AI implementation in classrooms; K-12 education research; pros and cons of AI; daily educational applications; empirical classroom studies,0.98,success,"K12 education, AI, education",2025-08-31T00:42:02.900936
AI-Integrated Scaffolding to Enhance Agency and Creativity in K-12 English Language Learners: A Systematic Review,J Wilson,2025.0,1,"M Li, J Wilson",https://www.mdpi.com/2078-2489/16/7/519,"… To understand how AI can support writing education without compromising student autonomy, this literature review draws on two foundational theories: sociocultural theory and …",0.9,True,"The paper directly addresses AI integration in K-12 education, specifically focusing on English language learners' writing, aligning with all three keywords through its thematic focus and application domain.",AI in K-12 education; scaffolding for language learning; student agency and creativity; sociocultural theory in education; systematic review methodology,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291215
Teachers' readiness and intention to teach artificial intelligence in schools,MA Ayanwale; IT Sanusi; OP Adelana,2022.0,429,"MA Ayanwale, IT Sanusi, OP Adelana…",https://www.sciencedirect.com/science/article/pii/S2666920X22000546,… of artificial intelligence (AI) as a subject to be incorporated into K-12 educational levels … the emerging subject as the success of AI education would probably be closely dependent on the …,0.9,True,"The paper directly addresses the integration of AI into K-12 education, focusing on teacher readiness and intention, which aligns perfectly with the keyword's focus on K12 education, AI, and education.",K-12 AI education; teacher readiness; AI curriculum integration; educational implementation; teacher intention,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291235
Exploring the Role of AI in K12: Are Robot Teachers Taking Over?,SFA Hossain,2021.0,4,"SFA Hossain, M Nurunnabi, AH Nadi…",https://www.igi-global.com/chapter/exploring-the-role-of-ai-in-k12/275651,"… This chapter is a step-by-step guideline about AI-enhanced teaching and learning in educational development. Besides, the chapter is a representation of whether robot teachers are …",0.9,True,"The paper directly addresses AI applications in K12 education, focusing on AI-enhanced teaching and the concept of robot teachers, aligning perfectly with the keyword's scope.",AI in education; K12 teaching methods; robot teachers; educational technology integration; AI-enhanced learning,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291243
AI and Educational Technology in K-12 Curriculum Reform: A Pathway Toward Smart Education in Bangladesh,SMH Amiri,2025.0,0,SMH Amiri,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5264983,… This section discusses the policy implications of the integration of AI in K-12 education in Bangladesh and comes up with specific recommendations for making the implementation …,0.9,True,"The paper directly addresses the integration of AI in K-12 education systems, focusing on policy implications and implementation strategies within the specific context of Bangladesh.",AI in K-12 curriculum; educational technology integration; policy recommendations for AI adoption; smart education frameworks; Bangladesh education reform,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291251
Middle school students' perspectives on adopting generative AI in K-12 education,IO Adisa; AO Adefisayo,2025.0,2,"IO Adisa, AO Adefisayo",https://www.tandfonline.com/doi/abs/10.1080/00220671.2025.2510393,"… on responsible AI adoption in K-12 education by centering students’ voices in shaping AI’s … Students’ use of generative AI tools in this study took place in a supervised, educational …",0.95,True,"The paper directly addresses K-12 education and AI by examining student perspectives on generative AI adoption in middle school settings, with explicit focus on educational applications and responsible integration.",K-12 education; generative AI; student perspectives; responsible AI adoption; educational technology integration,0.98,success,"K12 education, AI, education",2025-08-31T00:42:05.291260
The cyclical ethical effects of using artificial intelligence in education,E Dieterle; C Dede,2024.0,118,"E Dieterle, C Dede, M Walker",https://link.springer.com/article/10.1007/s00146-022-01497-w,Our synthetic review of the relevant and related literatures on the ethics and effects of using AI in education reveals five qualitatively distinct and interrelated divides associated with …,0.8,True,"The paper directly addresses AI in education, with thematic alignment to ethical considerations and effects, though K12 specificity is not explicit in the provided abstract but is contextually implied within broader educational AI discourse.",AI ethics in education; effects of AI on learning; educational technology divides; synthetic literature review; interdisciplinary AI impacts,0.9,success,"K12 education, AI, education",2025-08-31T00:42:05.291267
Teachers' perspective on artificial intelligence education: An initial investigation,G Schiavo; M Zancanaro,2022.0,156,"S Polak, G Schiavo, M Zancanaro",https://dl.acm.org/doi/abs/10.1145/3491101.3519866,"… ) have formulated fve big ideas about AI, which they believe every student in K-12 Education should learn about [23]. Examples are the idea that computers can learn from data and that …",0.9,True,"The paper directly investigates AI education from teachers' perspectives within K-12 education, aligning perfectly with all three keywords through its focus on curriculum implementation and pedagogical considerations.",K-12 AI curriculum; Teacher perspectives on AI education; Big ideas in AI for students; Computer learning from data; AI literacy in schools,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291274
Role of Stakeholders in Improving AI Competencies in K-12 Classrooms,P Khazanchi; R Khazanchi,2025.0,1,"P Khazanchi, R Khazanchi",https://www.learntechlib.org/p/225589/,"… and effective use of AI tools in K-12 education. It highlights how stakeholders can address the challenges and opportunities to improve AI competencies in K-12 classrooms. Librarians, …",0.9,True,"The paper directly addresses AI integration and competency development in K-12 education, with explicit focus on stakeholders' roles, aligning perfectly with all three keywords.",AI competencies in K-12; stakeholder roles in AI education; AI tools in classrooms; K-12 AI education challenges; librarians in AI integration,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291280
Cybersecurity education in the age of ai: Integrating ai learning into cybersecurity high school curricula,S Grover; B Broll,2023.0,43,"S Grover, B Broll, D Babb",https://dl.acm.org/doi/abs/10.1145/3545945.3569750,"… and Globecom), such an integrated “cybersecurity+AI” education curricular effort is new and uncharted territory in the context of K-12 education. Hence, a core goal of our exploratory …",0.8,True,"The paper directly addresses K-12 education and AI integration in curricula, with a specific focus on cybersecurity education as an application domain, aligning strongly with the keyword themes.",K-12 education; AI integration; cybersecurity curricula; interdisciplinary learning; educational innovation,0.9,success,"K12 education, AI, education",2025-08-31T00:42:05.291287
Global perspectives on learning analytics in K12 education,C Aguerrebere; H He; M Kwet; MJ Laakso,2022.0,13,"C Aguerrebere, H He, M Kwet, MJ Laakso…",https://www.utupub.fi/bitstream/handle/10024/157556/HLA22_Chapter_22_Aguerrebere.pdf?sequence=1,… With the development of artificial intelligence (AI) newer techniques are also being applied. … Automatic speech recognition (ASR) and NLP are two major AI techniques that are being …,0.8,True,"The paper directly addresses K12 education and explicitly discusses AI techniques like ASR and NLP within the context of learning analytics, demonstrating strong thematic and methodological alignment.",K12 education; learning analytics; artificial intelligence; automatic speech recognition; natural language processing,0.9,success,"K12 education, AI, education",2025-08-31T00:42:05.291294
Developing a model for AI Across the curriculum: Transforming the higher education landscape via innovation in AI literacy,J Southworth; K Migliaccio,2023.0,588,"J Southworth, K Migliaccio, J Glover, JN Glover…",https://www.sciencedirect.com/science/article/pii/S2666920X23000061,… AI should be a critical component of student education … AI education and integrate AI across the curriculum at a traditional research university. The University of Florida (UF) is infusing AI …,0.4,False,"The paper focuses exclusively on higher education (University of Florida) and AI curriculum integration, with no mention of K12 education, resulting in only tangential thematic overlap with the keyword.",AI literacy; higher education curriculum; university innovation; AI integration,0.9,success,"K12 education, AI, education",2025-08-31T00:42:05.291301
An Interdisciplinary Approach to Enhancing AI Literacy in K-12 Science Education: Curriculum Integration and Pedagogical Framework,,2024.0,0,"Y Shi, R Liang, Y Xu",https://link.springer.com/chapter/10.1007/978-981-97-9255-9_16,"… By enhancing AI literacy into the K-12 science education, we are equipping students with the foundational knowledge and skills necessary to engage with emerging technologies. This …",0.95,True,"The paper directly focuses on integrating AI literacy into K-12 science education, aligning perfectly with the keywords through its explicit emphasis on AI in K-12 educational contexts.",AI literacy; K-12 science education; curriculum integration; pedagogical framework; emerging technologies,0.98,success,"K12 education, AI, education",2025-08-31T00:42:05.291307
SWOT Analysis of the Use of Artificial Intelligence Technologies in K-12 Education.,Y Nafidi,2025.0,0,"M Alhiane, Y Nafidi",https://www.ceeol.com/search/article-detail?id=1340890,"… factors of using AI technologies in K–12 education are described … Indeed, AI excels at analyzing vast volumes of educational … -existing frameworks of technology integration in education. …",0.95,True,"The paper directly addresses the intersection of AI technologies and K-12 education through a SWOT analysis, explicitly focusing on application factors and integration frameworks within this specific educational context.",AI in K-12 education; technology integration frameworks; SWOT analysis of educational AI; factors influencing AI adoption; educational data analysis,0.98,success,"K12 education, AI, education",2025-08-31T00:42:05.291313
Designing game-based learning for high school artificial intelligence education,M Leitner; E Greenwald; N Wang,2023.0,36,"M Leitner, E Greenwald, N Wang…",https://link.springer.com/article/10.1007/s40593-022-00327-w,… is an excellent fit for AI education due to the commonality of problem solving in both game playing and AI. … How can we best prepare K-12 students as citizens of a world dependent on …,0.9,True,"The paper directly addresses K-12 AI education through game-based learning, explicitly targeting high school students and aligning with AI problem-solving concepts.",K-12 education; artificial intelligence education; game-based learning; problem solving; high school curriculum,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291320
Exploring AI Literacy in Swedish K-12 Education,J Velander; M Milrad,2024.0,0,"J Velander, M Milrad, N Otero","https://books.google.com/books?hl=en&lr=&id=eKokEQAAQBAJ&oi=fnd&pg=PT162&dq=K12+education,+AI,+education&ots=BTugSAfwPa&sig=pyrVs3pt6r7YHqNdZxPuI-WJXVo","… to AI literacy in Swedish K-12 education, this study offered insights into students’(pre) conceptions of AI and further explored the relationships between different AI … reasoning about AI in …",0.95,True,"The paper directly addresses AI literacy within K-12 education, aligning perfectly with the keyword's focus on AI integration and educational practices in this specific context.",AI literacy; K-12 education; student conceptions of AI; AI reasoning; Swedish educational context,0.98,success,"K12 education, AI, education",2025-08-31T00:42:05.291329
Learning analytics and evidence-based K12 education in Japan: usage of data-driven services for mobile learning across two years,H Ogata; R Majumdar; B Flanagan,2024.0,31,"H Ogata, R Majumdar, B Flanagan…",https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2024.135123,… This research discussed in this article stems from an earlier ministerial special innovative project (SIP) to effectively use big data and artificial intelligence in the domain of education. We …,0.9,True,"The paper directly addresses K12 education through its focus on mobile learning analytics in Japan, explicitly incorporates AI via a ministerial project on big data and AI in education, and centers on educational applications and evidence-based practices.",K12 education; artificial intelligence in education; learning analytics; mobile learning; data-driven services,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291336
Designing for complementarity: Teacher and student needs for orchestration support in AI-enhanced classrooms,K Holstein; BM McLaren; V Aleven,2019.0,190,"K Holstein, BM McLaren, V Aleven",https://link.springer.com/chapter/10.1007/978-3-030-23204-7_14,"… As artificial intelligence (AI) increasingly enters K-12 … of human versus AI instruction, and how might educational AI (AIED) … of more effective human–AI partnerships for K-12 education. …",0.9,True,"The paper directly addresses AI integration in K-12 education, focusing on teacher-student needs and human-AI partnerships, aligning perfectly with all three keywords.",AI-enhanced classrooms; K-12 education; human-AI partnerships; educational AI (AIED); orchestration support,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291342
"Exploring user perspectives on chatgpt: Applications, perceptions, and implications for ai-integrated education",RH Mogavi; JJ Kim; P Zhou; YD Kwon,2023.0,113,"RH Mogavi, C Deng, JJ Kim, P Zhou, YD Kwon…",https://arxiv.org/abs/2305.13114,"… The results of our research show that ChatGPT is most commonly used in the domains of higher education, K-12 education, and practical skills training. In social media dialogues, the …",0.8,True,"The paper explicitly identifies K-12 education as a primary domain for ChatGPT applications and directly addresses AI integration in educational contexts, aligning strongly with the keyword themes.",K-12 education; AI in education; ChatGPT applications; User perceptions; Educational technology integration,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291349
The use of generative artificial intelligence in K-12 education: An introduction to the special issue of the Journal of Educational Research,LS Nadelson,2025.0,0,LS Nadelson,https://www.tandfonline.com/doi/abs/10.1080/00220671.2025.2514913,"… Educational Research to research reports on the potential and current applications of GAI in K-12 educational … practices that include integrating GAI in K-12 education. For this issue, I …",0.95,True,"The paper directly focuses on generative AI applications in K-12 education, with explicit thematic alignment to all three keywords through its examination of AI integration in educational practices.",generative artificial intelligence; K-12 education integration; educational research; AI applications in teaching; GAI in classroom practices,0.98,success,"K12 education, AI, education",2025-08-31T00:42:05.291355
"Empowering K-12 Mathematics Teachers with Artificial Intelligence: A Systematic Review of Insights, Applications, and Challenges",D Li; S Osman; NSA Alhassora; JA Kumar,2025.0,0,"D Li, S Osman, NSA Alhassora, JA Kumar…",https://ieeexplore.ieee.org/abstract/document/11071268/,"… We found the integration of AI in K-12 mathematics teacher education is still in its early stages, only 18 related articles were retrieved. Most studies (10 of 18) focus on pre-service …",0.85,True,"The paper directly addresses AI integration in K-12 mathematics education, aligning with all three keywords through its systematic review of applications and challenges in teacher education.",K-12 mathematics education; AI integration in teaching; teacher professional development; pre-service teacher training; systematic review methodology,0.95,success,"K12 education, AI, education",2025-08-31T00:42:05.291361
Artificial intelligence literacy in higher and adult education: A scoping literature review,MC Laupichler; A Aster,2022.0,548,"MC Laupichler, A Aster, J Schirch, T Raupach",https://www.sciencedirect.com/science/article/pii/S2666920X2200056X,"… AI at an early age, adults in higher education and beyond should also have at least a basic understanding of AI (ie, AI … state of the literature on AI literacy in higher and adult education, a …",0.4,False,"The paper focuses exclusively on AI literacy in higher and adult education, with no direct mention of K12 education, though it acknowledges the importance of early AI education conceptually.",AI literacy; higher education; adult education; scoping review; basic AI understanding,0.9,success,"K12 education, AI, education",2025-08-31T00:42:07.011735
Transdisciplinary AI education: The confluence of curricular and community needs in the instruction of artificial intelligence,A Singh,2023.0,32,"R Aliabadi, A Singh, E Wilson",https://link.springer.com/chapter/10.1007/978-981-99-7947-9_11,"… Lee created a middle-school AI literacy curriculum on ethics education. This was an attempt to investigate children’s AI literacy through K12 education. It incorporates algorithmic bias, …",0.9,True,"The paper directly addresses K12 AI education through a middle-school curriculum focused on AI literacy and ethics, demonstrating strong alignment with all three keywords.",K12 education; AI literacy; ethics education; algorithmic bias; middle-school curriculum,0.95,success,"K12 education, AI, education",2025-08-31T00:42:07.011746
Smartphone-based game development to introduce K12 students in applied artificial intelligence,S Guerreiro-Santalla; A Mallo,2022.0,10,"S Guerreiro-Santalla, A Mallo, T Baamonde…",https://ojs.aaai.org/index.php/AAAI/article/view/21554,"… novel topic in AI education at K12 to our best knowledge (Weiss 2000). To do it, once they have finished a first version of the game app, an improvement is proposed to include non-local …",0.9,True,"The paper directly addresses K12 AI education through smartphone game development, aligning perfectly with all three keywords in both methodology and application domain.",K12 AI education; smartphone-based learning; game development pedagogy; applied artificial intelligence; educational technology integration,0.95,success,"K12 education, AI, education",2025-08-31T00:42:07.011750
Artificial Intelligence in K-12 Art Education: A Systematic Review of Applications and Evaluations,H Su; NAM Mokmin,2025.0,0,"H Su, NAM Mokmin",https://link.springer.com/chapter/10.1007/978-981-96-4090-4_2,"… of AI in K-12 art education is in its early stages, it holds significant promise for enriching the educational … future developments in AI-assisted art learning tools in K-12 education, ensuring …",0.9,True,"The paper directly addresses AI applications in K-12 education, specifically in art education, aligning perfectly with all three keyword components through its systematic review methodology and focus on educational tools.",AI in K-12 education; art education technology; systematic review of educational AI; AI-assisted learning tools; K-12 curriculum innovation,0.95,success,"K12 education, AI, education",2025-08-31T00:42:07.011753
