Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Relevance_Explanation,Key_Topics,Confidence
An Ethical and Equitable Vision of AI in Education: Learning across 28 Exploratory Projects.,A Shell,2024.0,0,"S Noakes, A Shell, AM Murillo, P Van Nostrand, P Ruiz…",https://eric.ed.gov/?id=ED671302,… AI in K-12 education. This report discusses findings across the 28 pilot projects that sought to explore how artificial intelligence (AI) could transform K-12 education. … equitable AIenabled …,0.95,"The paper directly focuses on AI applications in K-12 education through 28 pilot projects, with explicit thematic alignment to both AI and education in this specific context.",AI in K-12 education; equitable AI implementation; educational transformation through AI; pilot project analysis; ethical considerations in AIEd,0.98
Fostering upper elementary AI education: Iteratively refining a use-modify-create scaffolding progression for AI planning,B Mott; A Gupta; K Glazewski,2023.0,1,"B Mott, A Gupta, K Glazewski…",https://dl.acm.org/doi/abs/10.1145/3587103.3594170,… e growing ubiquity of artificial intelligence (AI) is reshaping much of daily life. is in … AI education throughout the K-12 curriculum so that students can beer understand and utilize AI. …,0.95,"The paper directly addresses AI education within the K-12 curriculum, specifically focusing on upper elementary levels, and develops a pedagogical framework for teaching AI concepts, aligning perfectly with all aspects of the keyword.",K-12 AI education; scaffolding progression; AI planning instruction; elementary curriculum integration; use-modify-create pedagogy,0.98
Exploring the Integration of Artificial Intelligence in K-12 Education: An Indonesian Case,CT Murniati; TD Hastuti; R Sanjaya,2024.0,0,"CT Murniati, TD Hastuti, R Sanjaya",https://www.atlantis-press.com/proceedings/cic-24/126007496,"… The results of this study suggest that AI integration in K-12 education is still in its infancy, … rapid progress in AI integration in K-12 education. In those countries, AI has been incorporated …",0.95,"The paper directly addresses the integration of artificial intelligence in K-12 education, with explicit focus on both AI and K12 education domains, making it highly relevant to the research keyword.",AI integration in K-12; educational technology adoption; case study methodology; international education systems; emerging AI applications,0.98
"AI-Enhanced English Language Teaching in K–12 Education: A Focus on Four Skills, Vocabulary, and Grammar",,2025.0,0,N Korkut,https://dergipark.org.tr/en/pub/babur/issue/92547/1684165,"… artificial intelligence (AI) tools are currently used to support English language learning in K–12 … and 2024, the study analyses the types of AI tools in use, their pedagogical contributions, …",0.95,"The paper directly focuses on AI applications in K-12 education, specifically examining AI tools for English language teaching, which aligns perfectly with all three keywords.",AI tools in education; K-12 English language teaching; pedagogical contributions of AI; vocabulary and grammar instruction; technology-enhanced learning,0.98
Enhancing AI Education For Middle School Students Using Facial Recognition: An Unplugged Approach,,2024.0,0,H Lim,https://search.proquest.com/openview/20bb9b622156f4846bbb21d3a6cc1cea/1?pq-origsite=gscholar&cbl=18750&diss=y,… The ultimate objective of this research is to document the development process of an unplugged educational tool for K-12 AI education and explore how it can stimulate student …,0.95,"The paper directly focuses on K-12 AI education through an unplugged approach, explicitly addressing all three keywords with high thematic alignment and practical application.",K-12 AI education; unplugged teaching methods; facial recognition pedagogy; middle school curriculum development; student engagement in AI,0.98
Empowering The Future: The Role of AI in K-12 Education,A Ottenbreit-Leftwich,2025.0,0,A Ottenbreit-Leftwich,https://www.learntechlib.org/p/226046/,… In an era where artificial intelligence (AI) is reshaping industries and redefining the future … K-12 education is not just an opportunity—it’sa necessity. This talk explores the critical role AI …,0.95,"The paper directly addresses the intersection of AI and K-12 education, with the title and abstract explicitly focusing on AI's role in this educational context.",AI in education; K-12 curriculum integration; future of learning technologies; educational transformation; AI applications in classrooms,0.98
Measuring upper-elementary students' understanding of AI concepts–a Rasch model analysis,S Chakraburty; KD Glazewski,2025.0,0,"S Chakraburty, KD Glazewski…",https://www.emerald.com/insight/content/doi/10.1108/ils-10-2023-0164/full/html,"… AI to younger students, addressing a gap in K-12 education. It provides a roadmap for progressively teaching AI … AI concepts into K–12 classrooms in a structured and measurable way. …",0.95,"The paper directly focuses on integrating AI concepts into K-12 education, specifically targeting upper-elementary students, and provides a structured roadmap for teaching AI in classrooms.",K-12 AI education; elementary student AI understanding; Rasch model measurement; structured AI curriculum integration; progressive AI teaching methods,0.98
Implementation of a Generative AI Assistant in K-12 Education: The CGScholar AI Helper Initiative,AK de Oliveira Nascimento,2025.0,0,"V Castro, AK de Oliveira Nascimento…",https://ui.adsabs.harvard.edu/abs/2025arXiv250219422C/abstract,"… This paper focuses on the piloting of the CGScholar AI Helper, a Generative AI (GenAI) assistant … This paper focuses on the CGScholar AI Helper's potential to enhance students' writing …",0.95,"The paper directly addresses K-12 education through its pilot implementation of a generative AI assistant (CGScholar AI Helper) specifically designed to enhance student writing, demonstrating strong alignment with all three keyword components.",Generative AI in education; K-12 writing enhancement; AI-assisted learning tools; Educational technology implementation; Student writing support,0.98
Empowering K-12 Education with AI,TKF CHIU,,0,TKF CHIU,https://library.oapen.org/bitstream/handle/20.500.12657/95794/1/9781003498377_10.4324_9781003498377-4.pdf,… approach to integrating AI in K- 12 education. We use the AI competency frameworks for … an interdisciplinary framework for AI education in K- 12. This operational framework provides …,0.95,"The paper directly focuses on integrating AI into K-12 education, with explicit mention of AI competency frameworks and an interdisciplinary framework for AI education, aligning perfectly with the keyword topics.",AI integration in K-12; AI competency frameworks; interdisciplinary AI education; operational framework for AI; K-12 curriculum development,0.98
AI Tool Usage in K-12 Classrooms: A 2023 Survey,A Shapiro,2024.0,0,"A Shapiro, HL Schwartz, RJ Lake, LR Rainey, S Doan…",https://policycommons.net/artifacts/12145670/using-artificial-intelligence-tools-in-k-12-classrooms/13039520/,… of generative AI tools like ChatGPT in K-12 education based on … The study found that 18% of teachers were actively using AI for … used AI tools. Most districts plan to train teachers on …,0.95,"The paper directly focuses on AI tool usage in K-12 education, with explicit mentions of generative AI tools like ChatGPT and teacher adoption rates, aligning perfectly with all three keyword components.",AI tool adoption in classrooms; Teacher training on AI; Generative AI in education; K-12 technology integration; Survey of AI usage patterns,0.98
Balancing the benefits and risks of AI large language models in K12 public schools,E Ekholm; M Strawderman,2023.0,11,"J Senechal, E Ekholm, S Aljudaibi, M Strawderman…",https://scholarscompass.vcu.edu/merc_pubs/133/,"… to discuss potential impacts of artificial intelligence (AI) large language models (LLMs) on K-12 education. It is intended for individuals involved with or interested in K-12 public schools, …",0.95,"The paper directly addresses the intersection of AI (specifically large language models) and K12 education, with explicit focus on impacts, benefits, and risks in this domain.",AI large language models; K-12 education impacts; public school integration; benefit-risk analysis; educational technology policy,0.98
Artificial intelligence for personalized learning in K-12 education. a scoping review,S Perna; M Allegra; M Gentile,2023.0,5,"V Pitrella, S Perna, M Allegra, M Gentile…",https://link.springer.com/chapter/10.1007/978-3-031-67351-1_25,"… AI, the main aim of the present contribution was to provide an update of AI solutions specifically designed for PL in K-12 education… supported by AI in promoting K-12 students’ outcomes. …",0.95,"The paper directly focuses on AI applications in K-12 education for personalized learning, with explicit alignment to all three keyword components.",artificial intelligence in education; personalized learning; K-12 educational outcomes; AI-driven educational tools; scoping review methodology,0.98
Ethical principles for artificial intelligence in K-12 education.,C Adams; P Pente; G Lemermeyer,2023.0,316,"C Adams, P Pente, G Lemermeyer…",https://concetticontrastivi.org/wp-content/uploads/2024/03/1-s2.0-s2666920x23000103-main.pdf,"… education has … AI ethics policy development for children and K-12 education. To accomplish this, we located four recent and globally relevant Artificial Intelligence in K12 Education (…",0.95,"The paper directly addresses AI in K-12 education, focusing on ethical principles and policy development, which aligns perfectly with the keyword's scope.",AI ethics; K-12 education policy; artificial intelligence in education; child-focused AI guidelines; global AI education frameworks,0.98
Affordances and challenges of artificial intelligence in K-12 education: A systematic review,H Crompton; MV Jones,2024.0,212,"H Crompton, MV Jones, D Burke",https://www.tandfonline.com/doi/abs/10.1080/15391523.2022.2121344,… AI into disciplinary areas. This paper focuses on AI in Education (AIEd) and how AI is explicitly used within the educational context. AIEd is used throughout the paper referring to …,0.95,"The paper directly addresses the intersection of AI and K-12 education through a systematic review, explicitly focusing on AIEd applications and challenges within this specific educational context.",AI in K-12 education; systematic review of AIEd; educational technology integration; AI affordances and challenges; disciplinary AI applications,0.98
Artificial Intelligence teaching and learning in K-12 from 2019 to 2022: A systematic literature review,S Rizvi; J Waite; S Sentance,2023.0,149,"S Rizvi, J Waite, S Sentance",https://www.sciencedirect.com/science/article/pii/S2666920X23000243,… Artificial Intelligence (AI) teaching and learning in the K-12 setting. While some work has explored the educational … on the effectiveness of such AI education interventions. The primary …,0.95,"The paper directly focuses on AI teaching and learning within K-12 education, aligning perfectly with all three keywords through its systematic review of interventions and effectiveness in this specific domain.",AI education interventions; K-12 teaching strategies; systematic literature review; educational effectiveness; AI learning outcomes,0.98
Ai education from the educator's perspective: Best practices for an inclusive ai curriculum for middle school,G Schiavo,2023.0,29,"G Gibellini, V Fabretti, G Schiavo",https://dl.acm.org/doi/abs/10.1145/3544549.3585747,… The need for Artifcial Intelligence (AI) literacy in K-12 education programs is becoming increasingly important as technology continues to advance and play a signifcant role in our daily …,0.95,"The paper directly addresses AI literacy in K-12 education, focusing on curriculum development for middle school, which aligns perfectly with the keyword's focus on K12 education and AI integration.",AI literacy; K-12 curriculum design; middle school education; inclusive AI education; educator perspectives,0.98
Designing for human–AI complementarity in K-12 education,K Holstein; V Aleven,2022.0,131,"K Holstein, V Aleven",https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/7399,"… K-12 classrooms, we observed the interplay of human and AI decision-making under real-world conditions, refining the design of Lumilo based on our observations to shape human–AI …",0.95,"The paper directly addresses the integration of AI in K-12 education through empirical classroom observations and design refinements, aligning perfectly with all three keywords.",human-AI complementarity; K-12 classroom decision-making; AI tool design (Lumilo); real-world educational AI implementation; teacher-AI collaboration,0.98
Envisioning AI for K-12: What should every child know about AI?,D Touretzky; C Gardner-McCune; F Martin,2019.0,986,"D Touretzky, C Gardner-McCune, F Martin…",https://ojs.aaai.org/index.php/AAAI/article/view/5053,"… K-12 computing education, the AI for K-12 guidelines will define what students in each grade band should know about artificial intelligence, … the groundwork for AI education in K12, but …",0.95,"The paper directly focuses on developing AI education guidelines for K-12 students, aligning perfectly with all three keywords through its explicit discussion of curriculum standards and implementation in primary/secondary education.",K-12 AI curriculum standards; AI literacy for children; Grade-band learning objectives; Computing education integration; Foundational AI concepts,0.98
Introduction to Transforming K-12 Education with Artificial Intelligence,TKF Chiu,2025.0,0,TKF Chiu,https://library.oapen.org/handle/20.500.12657/95792,"… AI in K- 12 contexts, leading to this book. This chapter gives you an overview of AI in K- 12 education, … ways in which students are currently being prepared for life and work in the AI era. …",0.95,"The paper directly focuses on the application of AI in K-12 education, aligning perfectly with all components of the keyword by examining current implementations and student preparation for the AI era.",AI in K-12 education; student preparation for AI era; educational transformation with AI; overview of AI applications; K-12 curriculum integration,0.98
Navigating the Future of Learning: A Systematic Review of AI-Driven Intelligent Tutoring Systems (ITS) in K-12 Education,P Charland; MD Martineau; J Boasen,2024.0,1,"P Charland, A Létourneau, MD Martineau, J Boasen…",https://assets-eu.researchsquare.com/files/rs-4276591/v1_covered_76e5fad0-9b15-4a36-bb61-cb8009dfdfcd.pdf,"… what are the effects of ITSs on K-12 students' learning and 43 … and performance in K-12 education are generally positive. … Additionally, the ethical implications of using AI for teaching …",0.95,"The paper directly focuses on AI-driven intelligent tutoring systems in K-12 education, explicitly addressing both AI applications and educational outcomes in this specific context.",Intelligent Tutoring Systems; K-12 learning outcomes; AI in education; Educational technology integration; Ethical implications of AI,0.98
Engaging teachers to co-design integrated AI curriculum for K-12 classrooms,P Lin; J Van Brummelen,2021.0,250,"P Lin, J Van Brummelen",https://dl.acm.org/doi/abs/10.1145/3411764.3445377,… for formal K-12 education to prioritize AI literacy and teach children to interact with AI using a … The AI4K12 research community has also published guidelines for what AI concepts K-12 …,0.95,"The paper directly focuses on integrating AI into K-12 education through curriculum co-design with teachers, aligning perfectly with all three keywords.",AI literacy; K-12 curriculum design; teacher engagement; AI4K12 guidelines; formal education integration,0.98
Artificial intelligence (AI) literacy education in secondary schools: a review,DTK Ng; J Su; JKL Leung; SKW Chu,2024.0,128,"DTK Ng, J Su, JKL Leung, SKW Chu",https://www.tandfonline.com/doi/abs/10.1080/10494820.2023.2255228,"… summarized some scoping reviews in AI education, and its implementation in K-12 schools. … to discuss how to teach and learn AI in K-12 education. Teaching AI was not possible in the …",0.95,"The paper directly addresses AI literacy education in K-12 secondary schools, aligning perfectly with all three keyword components through its focus on implementation, teaching methods, and learning approaches.",AI literacy education; K-12 curriculum implementation; teaching methodologies for AI; scoping reviews in AI education; secondary school AI integration,0.98
Understanding K-12 Teachers' Needs for AI Education: A Survey-Based Study,J Femiani; D Inclezan,2025.0,0,"N Bautista, J Femiani, D Inclezan",https://ojs.aaai.org/index.php/AAAI/article/view/35183,"… This study seeks to identify K-12 teachers’ selfidentified needs regarding AI education and … (PD) for AI integration. We surveyed 34 K-12 teachers to assess their knowledge of AI, identify …",0.95,"The paper directly focuses on K-12 teachers' needs for AI education, explicitly addressing all three components of the keyword through its survey-based study on AI integration in K-12 educational contexts.",K-12 teacher professional development; AI education integration; teacher knowledge assessment; survey methodology in education; AI curriculum needs,0.98
"A systematic review of learning task design for K-12 AI education: Trends, challenges, and opportunities",,2024.0,49,"L Li, F Yu, E Zhang",https://www.sciencedirect.com/science/article/pii/S2666920X24000183,"This systematic review investigates learning task design for K-12 AI education, aiming to provide an overview of the status of AI education and identify trends, challenges, and …",0.95,"The paper directly focuses on K-12 AI education through a systematic review of learning task design, aligning perfectly with all three keyword components.",K-12 AI education; learning task design; systematic review; educational trends; pedagogical challenges,0.98
Ethical principles for the development and application of artificial intelligence in K-12 education,R Luckin,2023.0,11,"C Webb, R Luckin, E Ecoff",,,0.95,The paper directly addresses the intersection of AI and K-12 education by focusing on ethical principles for AI development and application in this specific educational context.,AI ethics in education; K-12 educational technology; AI application guidelines; Ethical AI development; Educational policy for AI,0.98
A systematic review of AI-driven intelligent tutoring systems (ITS) in K-12 education,M Deslandes Martineau,2025.0,4,"A Létourneau, M Deslandes Martineau…",https://www.nature.com/articles/s41539-025-00320-7,… educational value remains unclear. This systematic review aims to identify the effects of ITSs on K-12 … ITSs on learning and performance in K-12 education are generally positive but are …,0.95,"The paper directly focuses on AI-driven intelligent tutoring systems within K-12 education, aligning perfectly with all three keywords through its systematic review methodology and explicit examination of educational applications.",Intelligent Tutoring Systems; K-12 Education; AI in Education; Learning Outcomes; Systematic Review,0.98
Ai4all: Ai education for k-12,Y Yin,2022.0,1,Y Yin,https://wyn-associates.com/wp-content/uploads/2022/08/eaai_23___k12_education-2022-8-24.pdf,… dedicated their lives in K12 education system and there has … foundations for Artificial Intelligence Education for high … resources to support K-12 education in Artificial Intelligence (AI). …,0.95,"The paper directly focuses on AI education initiatives within the K-12 system, explicitly addressing both AI and K-12 education as core themes.",K-12 AI education; AI curriculum development; educational resources for AI; high school AI foundations; AI4ALL program implementation,0.98
AI literacy in K-12: a systematic literature review,L Casal-Otero; A Catala; C Fernández-Morante,2023.0,527,"L Casal-Otero, A Catala, C Fernández-Morante…",https://link.springer.com/article/10.1186/s40594-023-00418-7,"… Thus, AI literacy is a pedagogical and cognitive challenge at the K-12 level. This study aimed to understand how AI is being integrated into K-12 education worldwide. We conducted a …",0.95,"The paper directly focuses on AI integration in K-12 education through a systematic review, aligning perfectly with all three keywords in scope, methodology, and application.",AI literacy; K-12 curriculum integration; pedagogical challenges; global AI education practices; systematic literature review,0.98
Artificial Intelligence in K-12 Education: eliciting and reflecting on Swedish teachers' understanding of AI and its implications for teaching & learning,J Velander; MA Taiye; N Otero; M Milrad,2024.0,180,"J Velander, MA Taiye, N Otero, M Milrad",https://link.springer.com/article/10.1007/s10639-023-11990-4,"… how to inform and teach AI in K-12 education. As AI is a new topic not only for pupils in K-12 but also for teachers, new skill sets are required that enable critical engagement with AI. …",0.95,"The paper directly addresses the intersection of AI and K-12 education by examining teachers' understanding and pedagogical implications, aligning perfectly with all three keywords.",AI literacy in K-12; teacher professional development for AI; critical engagement with AI technologies; curriculum integration of AI; teaching and learning implications,0.98
Artificial intelligence (AI) learning tools in K-12 education: A scoping review,J Su,2025.0,180,"IHY Yim, J Su",https://link.springer.com/article/10.1007/s40692-023-00304-9,"… is to provide a comprehensive K-12 education for learning tools, encompassing early childhood education and primary and secondary education. As the education systems of different …",0.95,"The paper directly focuses on AI learning tools within K-12 education, aligning perfectly with all components of the keyword.",AI learning tools; K-12 education systems; scoping review methodology; early childhood to secondary education; educational technology integration,0.98
"Artificial Intelligence and K-12 education: Possibilities, pedagogies and risks",W Holmes,2023.0,49,"J Mintz, W Holmes, L Liu…",https://www.tandfonline.com/doi/abs/10.1080/07380569.2023.2279870,"… by Artificial Intelligence in Education, and to begin with what do we mean by Artificial Intelligence… Since it was first proposed as a field of research in 1956, Artificial Intelligence (AI) has …",0.95,"The paper directly addresses the intersection of artificial intelligence and K-12 education, explicitly discussing possibilities, pedagogies, and risks within this specific educational context.",Artificial Intelligence in Education; K-12 pedagogical applications; AI implementation risks; Educational technology integration; AI ethics in schools,0.98
THE AI REVOLUTION IN K-12 EDUCATION: ARE EDUCATORS READY?,,2025.0,0,"I Caruana, R Gilar-Corbí, M Palomar",https://library.iated.org/view/CARUANA2025AIR,"… educational sector is undergoing significant changes, as AI … of AI in early education, focusing on the readiness of K-12 … It highlights the challenges and opportunities AI presents in the …",0.95,"The paper directly addresses AI integration in K-12 education, explicitly matching all keyword components with a focus on educator readiness, challenges, and opportunities.",AI in K-12 education; Educator readiness for AI; Challenges of AI adoption; Opportunities of AI in classrooms; Early education AI integration,0.98
Pedagogical design of K-12 artificial intelligence education: A systematic review,MSY Jong; Y Dai,2022.0,142,"M Yue, MSY Jong, Y Dai",https://www.mdpi.com/2071-1050/14/23/15620,… to the K-12 context as well. An … AI learning into K-12 education through playful experiences and approachable content to prepare children for an AI-saturated world and future AI-oriented …,0.95,"The paper directly focuses on integrating AI into K-12 education through pedagogical design, aligning perfectly with all three keywords in scope, methodology, and application.",K-12 AI curriculum design; pedagogical strategies for AI education; systematic review of AI in schools; playful learning approaches; future readiness for AI-saturated societies,0.98
Artificial intelligence applications to support K-12 teachers and teaching,,2019.0,334,RF Murphy,https://www.jstor.org/stable/pdf/resrep19907,"… The remainder of this paper focuses on successful and promising applications of narrow AI in education to augment teacher capacity, highlighting both their benefits to teaching and …",0.95,"The paper directly addresses the intersection of AI applications and K-12 education, focusing on augmenting teacher capacity and teaching processes, which aligns perfectly with all three keywords.",narrow AI in education; teacher capacity augmentation; K-12 teaching support; AI benefits for educators; educational technology applications,0.98
Transforming K-12 education: A systematic review of AI integration,GS Semwaiko; WH Chao,2024.0,7,"GS Semwaiko, WH Chao, CH Yang",https://www.researchgate.net/profile/Godfrey-Semwaiko/publication/386167786_Transforming_K-12_education_A_systematic_review_of_AI_integration/links/674700a23d17281c7de2dc9b/Transforming-K-12-education-A-systematic-review-of-AI-integration.pdf,"… This paper examines the progression of AI applications in K–12 education from the 1980s, specifically focusing on the transition from Computer-Assisted Instruction (CAI) to Intelligent …",0.95,"The paper directly focuses on AI integration in K-12 education, with explicit thematic alignment to all three keywords through its systematic review of historical and current applications.",AI in K-12 education; Computer-Assisted Instruction (CAI); Intelligent Tutoring Systems; Educational technology evolution; Systematic review methodology,0.98
A SCOPING REVIEW OF AI TEACHING ACTIVITY DESIGN IN K-12 EDUCATION,,2024.0,0,"L Li, F Yu, E Zhang",https://library.iated.org/view/LI2024ASC,"… review explores AI teaching activity design for K-12 students. … of AI education for K-12 students with a focus on AI teaching … encompass K-12 students and teachers, emphasizing AI …",0.95,"The paper directly focuses on AI teaching activity design within K-12 education, aligning perfectly with all three keywords through its explicit examination of AI integration in educational practices for this specific age group.",AI teaching activity design; K-12 AI education; pedagogical approaches for AI; teacher and student engagement with AI; scoping review methodology in education,0.98
"Teaching AI to K-12 learners: Lessons, issues, and guidance",S Grover,2024.0,57,S Grover,https://dl.acm.org/doi/abs/10.1145/3626252.3630937,… education conference. Roughly 5 years into a period of intense research and development in K-12 AI/ML education… 2 decades of K-12 CS education research that K-12 AI education will …,0.95,"The paper directly addresses K-12 AI education, explicitly combining all three keyword elements through its focus on teaching AI concepts to K-12 learners and drawing from CS education research.",K-12 AI curriculum; machine learning education; CS education integration; pedagogical approaches; educational research synthesis,0.98
Analyzing teacher competency with TPACK for K-12 AI education,Y Jang; S Choi; H Jung,2021.0,127,"S Kim, Y Jang, S Choi, W Kim, H Jung, S Kim…",https://link.springer.com/article/10.1007/s13218-021-00731-9,"… AI taught to K-12. Based on the findings, we propose teacher competency for K-12 AI education by analyzing AI … We conclude that teachers who teach AI to K-12 students require TPACK …",0.95,"The paper directly addresses K-12 AI education by analyzing teacher competency using the TPACK framework, making it highly aligned with the keyword's focus on K-12 education and AI integration.",K-12 AI education; teacher competency; TPACK framework; AI curriculum development; pedagogical content knowledge,0.98
"Designing AI learning experiences for K-12: Emerging works, future opportunities and a design framework",X Zhou; J Van Brummelen; P Lin,2009.0,134,"X Zhou, J Van Brummelen, P Lin",https://arxiv.org/abs/2009.10228,"… of K-12 AI and education literature to … K-12 AI education research using the AI literacy framework, point out needs specific to a K-12 audience, identify opportunities for future K-12 AI …",0.95,"The paper directly focuses on designing AI learning experiences for K-12 education, explicitly addressing AI literacy and educational frameworks within this context.",K-12 AI education; AI literacy framework; design framework for learning experiences; future opportunities in AI education; K-12 audience-specific needs,0.98
Commentary for the international journal of artificial intelligence in education special issue on k-12 AI education,HC Lane,2023.0,14,HC Lane,https://link.springer.com/article/10.1007/s40593-023-00359-w,"… Issue on K-12 AI Education. The articles offer compelling motivation for early AI education and … the articles in terms of the goals to address AI awareness, knowledge, skills, and ethics. …",0.95,"The paper directly addresses K-12 AI education, focusing on awareness, knowledge, skills, and ethics, aligning perfectly with the research keyword.",K-12 AI education; AI awareness; AI ethics; early AI education; AI curriculum development,0.98
"Scientific practices for understanding, applying and creating with artificial intelligence in K‐12 education: A scoping review",J Alé; R Araya,2025.0,0,"J Alé, B Ávalos, R Araya",https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1002/rev3.70098,"… integration of artificial intelligence (AI) tools into scientific education practices in … AI tools were selected. The studies were coded based on the type of AI, the type of scientific practice, AI …",0.95,"The paper directly focuses on AI integration in K-12 education, specifically examining scientific practices, tools, and applications, which aligns perfectly with the keyword's scope.",AI tools in education; K-12 scientific practices; AI integration methods; Educational applications of AI; Scoping review methodology,0.98
Development of K-12 Digital Culture Curriculum for AI Edcuation,JH Han,2022.0,1,"SB Shin, JH Han",,,0.95,"The paper directly focuses on developing a curriculum for AI education within K-12 settings, aligning perfectly with all three keywords by addressing educational content, target audience, and technological integration.",K-12 curriculum development; AI education integration; digital literacy; pedagogical strategies for AI; educational technology implementation,0.98
Artificial intelligence in education: Addressing ethical challenges in K-12 settings,S Akgun; C Greenhow,2022.0,1435,"S Akgun, C Greenhow",https://link.springer.com/article/10.1007/s43681-021-00096-7,… term “K–12 education” to refer to students’ education in … education or pre-college level schooling in other countries. These AI systems can increase the capacity of K-12 educational …,0.95,"The paper directly addresses AI applications and ethical considerations within K-12 education, aligning perfectly with all three keywords in scope, methodology, and conceptual focus.",AI in K-12 education; ethical challenges; educational technology integration; policy implications; student data privacy,0.98
Transforming Education Through an Innovative AI Literacy Course for K-12 Educators,KR Nelson; S Du; DT Marshall,2025.0,1,"KR Nelson, S Du, DT Marshall, S Bowers, A Ali",https://osf.io/ueyba/download,"… of artificial intelligence (AI) in K-12 education marks a transformative shift in how students and educators interact with technology. As AI … In light of this, developing AI literacy among K-12 …",0.95,"The paper directly addresses AI integration and literacy development within K-12 education, aligning perfectly with all components of the keyword.",AI literacy; K-12 educator training; technology integration in education; AI curriculum development; educational transformation,0.98
"Auditing AI Literacy Competency in K–12 Education: The Role of Awareness, Ethics, Evaluation, and Use in Human–Machine Cooperation",AM Al-Abdullatif,2025.0,1,AM Al-Abdullatif,https://www.mdpi.com/2079-8954/13/6/490,… for educational policymakers and leaders in designing professional development programs that prepare teachers for effective and responsible AI integration in K–12 education. …,0.95,"The paper directly addresses AI integration in K-12 education through auditing literacy competencies, aligning perfectly with the keyword's focus on AI applications in educational contexts.",AI literacy; K-12 teacher professional development; human-machine cooperation; ethical AI integration; educational policy design,0.98
A year in K–12 AI education,D Touretzky; C Gardner‐McCune; C Breazeal,2019.0,155,"D Touretzky, C Gardner‐McCune, C Breazeal…",https://onlinelibrary.wiley.com/doi/abs/10.1609/aimag.v40i4.5289,"… AI, we want to foster a diverse population of AI developers. In this context, we need to engage students throughout their education … a new K–12 AI Education Community consisting of AI …",0.95,"The paper directly addresses K-12 AI education through community building and curriculum development, with explicit focus on engaging students throughout their education to foster AI developers.",K-12 AI curriculum; AI education community; student engagement in AI; diversity in AI development; educational outreach,0.98
Online K-12 Teachers' Perceptions of Students' AI Utilization and Teachers' Outlook on the Future of Education in the Context of Artificial Intelligence,L Lipien,2024.0,1,"K Doty, L Lipien",https://www.researchgate.net/profile/Kyle-Doty-3/publication/383741526_Online_K-12_Teachers'_Perceptions_of_Students'_AI_Utilization_and_Teachers'_Outlook_on_the_Future_of_Education_in_the_Context_of_Artificial_Intelligence/links/66d85ae4fa5e11512c765174/Online-K-12-Teachers-Perceptions-of-Students-AI-Utilization-and-Teachers-Outlook-on-the-Future-of-Education-in-the-Context-of-Artificial-Intelligence.pdf,"… of the use of AI models, like ChatGPT, in online K-12 education and the researchers sought … a fully online K-12 educational environment viewed the future of online learning with AI. Two …",0.95,"The paper directly examines AI utilization in K-12 online education and teachers' perspectives on AI's future role, aligning perfectly with all three keyword components.",K-12 online education; AI models in teaching; teacher perceptions of AI; future of AI in education; ChatGPT in classrooms,0.98
The Role of Artificial Intelligence (AI) in Personalized Learning: A Case Study in K-12 Education,ZH Sahito,2024.0,1,"ZH Sahito, FZ Sahito, M Imran",https://www.gesrjournal.com/article/the-role-of-artificial-intelligence-ai-in-personalized-learning-a-case-study-in-k12-education,… The results of this study offer a persuasive case for the transformational value that AI-driven personalized learning holds for K-12 education. Results from the study will be interpreted in …,0.95,"The paper directly addresses all three keywords by focusing on AI's role in personalized learning within K-12 education, with explicit methodological and conceptual alignment.",Artificial Intelligence in Education; Personalized Learning; K-12 Case Study; Educational Transformation; AI-driven Pedagogy,0.98
A systematic review of ChatGPT use in K‐12 education,P Zhang; G Tur,2024.0,222,"P Zhang, G Tur",https://onlinelibrary.wiley.com/doi/abs/10.1111/ejed.12599,"… about AI, particularly ChatGPT's role in K-12 education, … might be effectively integrated into K-12 education. By identifying the … about the role of AI in K-12 education and provide valuable …",0.95,"The paper directly focuses on AI (specifically ChatGPT) in K-12 education, with explicit thematic alignment to all three keyword components through its systematic review methodology and application domain.",ChatGPT in education; AI integration in K-12; systematic review methodology; educational technology adoption; K-12 curriculum enhancement,0.98
The Role of Artificial Intelligence (AI) in Personalized Learning: A Case Study in K-12 Education,ZH Sahito,2024.0,1,"ZH Sahito, FZ Sahito, M Imran",https://www.gesrjournal.com/article/the-role-of-artificial-intelligence-ai-in-personalized-learning-a-case-study-in-k12-education,… The results of this study offer a persuasive case for the transformational value that AI-driven personalized learning holds for K-12 education. Results from the study will be interpreted in …,0.95,"The paper directly addresses AI applications in K-12 education through a case study on personalized learning, aligning perfectly with all three keyword components.",AI-driven personalized learning; K-12 education case study; educational technology implementation; student learning outcomes; curriculum adaptation,0.98
AI-K12 Connect: Shaping Tomorrow's Scholars,R Singh; KR Jansi,2024.0,0,"A Singhal, R Singh, KR Jansi",https://ieeexplore.ieee.org/abstract/document/10537401/,"… The research is motivated by the potential of Artificial Intelligence, or AI to revolutionise K-12 education. With current teaching methods facing challenges in meeting diverse student …",0.95,"The paper directly focuses on the application of AI in K-12 education, with the abstract explicitly stating its motivation to revolutionize this domain using AI.",Artificial Intelligence in education; K-12 teaching methods; Student diversity adaptation; Educational technology integration; Future scholarly development,0.98
